Rate Card Name,Rate Card Type,Product Name,Product SKU Code,Price (₹),Created On
"MT (50%)","undefined","Roasted and Ground Coffee Hazelnut Fine Grind 250g Case of 20","RNG-HAZ-250-FIN-C20","5250","05-May-2025"
"MT (50%)","undefined","Sleepy owl instant coffee Hazelnut Sachet -2g( Plastic) Pack of 200 Case of 10","PIC-HAZ-2GM-SAC-200-C10","15000","05-May-2025"
"MT (50%)","undefined","Sleepy owl instant coffee Hazelnut Sachet -2g( Plastic) Pack of 200","PIC-HAZ-2GM-SAC-200","1500","05-May-2025"
"MT (50%)","undefined","Hot Brew Bags Original Set of 10 Bags","HBB-ORG-10P-BAG-ONE","250","05-May-2025"
"MT (50%)","undefined","Instant Coffee French Vanilla Set of 10 Sachets Case of 68","PIC-FVA-10P-SAC-C68","5100","05-May-2025"
"MT (50%)","undefined","Instant Coffee Hazelnut Set of 10 Sachets Case of 68","PIC-HAZ-10P-SAC-C68","5100","05-May-2025"
"MT (50%)","undefined","Instant Coffee Original Set of 10 Sachets Case of 68","PIC-ORG-10P-SAC-C68","5100","05-May-2025"
"MT (50%)","undefined","Instant Coffee Hazelnut Pack of 30 Sachets Case of 20","PIC-HAZ-30P-SAC-C20","3000","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Assorted Box of 5","CBB-AST-05P-BAG-ONE","450","05-May-2025"
"MT (50%)","undefined","Premix Coffee Cappuccino Single in Ladi Case of 600","PMC-CAP-ONE-LAD-C600","15000","05-May-2025"
"MT (50%)","undefined","Premix Coffee Assorted Box of 3 Sachets Case of 45	","PMC-AST-03P-SAC-C45","3375","05-May-2025"
"MT (50%)","undefined","Premix Coffee Hazelnut Single in Ladi Case of 600","PMC-HAZ-ONE-LAD-C600","15000","05-May-2025"
"MT (50%)","undefined","Premix Coffee French Vanilla Single in Ladi Case of 600","PMC-FVA-ONE-LAD-C600","15000","05-May-2025"
"MT (50%)","undefined","Premix Coffee Cappuccino Single Sachet Case of 700","PMC-CAP-ONE-SAC-C700","17500","05-May-2025"
"MT (50%)","undefined","Premix Coffee Hazelnut Single Sachet Case of 700","PMC-HAZ-ONE-SAC-C700","17500","05-May-2025"
"MT (50%)","undefined","Premix Coffee French Vanilla Single Sachet Case of 700","PMC-FVA-ONE-SAC-C700","17500","05-May-2025"
"MT (50%)","undefined","Hot Brew Bags Original Set of 10 Bags Case of 20","HBB-ORG-10P-BAG-C20","5000","05-May-2025"
"MT (50%)","undefined","New MRP Instant Coffee Assorted Set of 10 Sachets Case of 76","PIC-AST-10P-SAC-C76-MRP","5320","05-May-2025"
"MT (50%)","undefined","Instant Coffee French Vanilla 100g Glass Jar Case of 24","PIC-FVA-100-GLJ-C24","8988","05-May-2025"
"MT (50%)","undefined","Premix Coffee French Vanilla Box of 5 Sachets Case of 30","PMC-FVA-05P-SAC-C30","3750","05-May-2025"
"MT (50%)","undefined","Hot Brew Bags Assorted Set of 10 Bags Case of 20","HBB-AST-10P-BAG-C20","5000","05-May-2025"
"MT (50%)","undefined","Instant coffee classic- 1.5g Sachet(Horeca) Pack of 500 Case of 4","PIC-CLA-1G5-SAC-500-HOR-C04","12000","05-May-2025"
"MT (50%)","undefined","Instant coffee classic- 1.5g Sachet(Horeca) Pack of 500","PIC-CLA-1G5-SAC-500-HOR","3000","05-May-2025"
"MT (50%)","undefined","Instant Coffee French Vanilla 2g Sachet Ladi Case of 240","PIC-FVA-2GM-SAC-240-LAD","1800","05-May-2025"
"MT (50%)","undefined","Cold Coffee Can Belgian Mocha 230ml Case of 24","CCC-BEL-230-CAN-C24","1500","05-May-2025"
"MT (50%)","undefined","Instant Coffee Assorted Set of 10 Sachets Case of 76","PIC-AST-10P-SAC-C76","5320","05-May-2025"
"MT (50%)","undefined","Sleepy owl instant coffee Xpresso Sachet -1gm Pack of 200","PIC-XPR-1GM-SAC-200","500","05-May-2025"
"MT (50%)","undefined","Sleepy owl instant coffee Xpresso Sachet -1gm Pack of 200 Case of 10","PIC-XPR-1GM-SAC-200-C10","5000","05-May-2025"
"MT (50%)","undefined","Instant Coffee French Vanilla 2g Sachet Ladi Case of 240 Case of 10","PIC-FVA-2GM-SAC-240-LAD-C10","18000","05-May-2025"
"MT (50%)","undefined","Arabica Original- Ground Coffee","ARB-OG-GC","500.325","05-May-2025"
"MT (50%)","undefined","Premix Coffee Cappuccino Box of 3 Sachets Case of 45","PMC-CAP-03P-SAC-C45","3375","05-May-2025"
"MT (50%)","undefined","Premix CoffeFrench Vanilla Box of 3 Sachets Case of 45","PMC-FVA-03P-SAC-C45","3375","05-May-2025"
"MT (50%)","undefined","Premix Coffee Hazelnut Box of 3 Sachets Case of 45","PMC-HAZ-03P-SAC-C45","3375","05-May-2025"
"MT (50%)","undefined","Sleepy owl instant coffee Vanilla Sachet -2g( Plastic) Pack of 200 Case of 10","PIC-FVA-2GM-SAC-200-C10","15000","05-May-2025"
"MT (50%)","undefined","Sleepy owl instant coffee Vanilla Sachet -2g( Plastic) Pack of 200","PIC-FVA-2GM-SAC-200","1500","05-May-2025"
"MT (50%)","undefined","Instant Coffee Assorted Set of 10 Sachets New MRP","PIC-AST-10P-SAC-ONE-MRP","70","05-May-2025"
"MT (50%)","undefined","Mankind French Vanilla and Cold Coffee Gift Set","CMB-MAN-FVA","241.31","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Cinnamon Set of 5 Bag Case of 10","CBB-CIN-05P-BAG-C10","4500","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Mocha Set of 5 Bag Case of 10","CBB-MOC-05P-BAG-C10","4500","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Caramel Box of 5","CBB-CAR-05P-BAG-ONE","450","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Cinnamon Box of 5","CBB-CIN-05P-BAG-ONE","450","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Emirates Blend Box of 5","CBB-EMI-05P-BAG-ONE","450","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags French Vanilla Box of 5","CBB-FVA-05P-BAG-ONE","450","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Hazelnut Box of 5","CBB-HAZ-05P-BAG-ONE","450","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Mocha Box of 5","CBB-MOC-05P-BAG-ONE","450","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags Original Box of 5","CBB-ORG-05P-BAG-ONE","450","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags French Vanilla Sachet","CBB-FVA-ONE-BAG-ONE","90","05-May-2025"
"MT (50%)","undefined","Cold Brew Bags French Vanilla Sachet - Zepto Café","CBB-FVA-ONE-BAG-ONE-ZEP","49.5","05-May-2025"
"MT (50%)","undefined","Instant Coffee Assorted Pack of 50 Sachet + Ground Coffee Mug Combo","CMB-GRD-V10","500","05-May-2025"
"MT (50%)","undefined","Instant Coffee Decaf Pack of 30 Sachets","PIC-DCF-30P-SAC-ONE","300","05-May-2025"
"MT (50%)","undefined","Cold Coffee Can Belgian Mocha 230ml","CCC-BEL-230-CAN-ONE","62.5","05-May-2025"
"MT (50%)","undefined","Instant Coffee Original Pack of 30 Sachets Case of 20","PIC-ORG-30P-SAC-C20","4500","05-May-2025"
"MT (50%)","undefined","Instant Coffee Original 2g Sachet Ladi Case of 240 Case of 10","PIC-ORG-2GM-SAC-240-LAD-C10","18000","05-May-2025"
"MT (50%)","undefined","Cold Coffee Can Classic 230ml","CCC-CLA-230-CAN-ONE","62.5","05-May-2025"
"MT (50%)","undefined","Instant Coffee Hazelnut 2g Sachet Ladi Case of 240 Case of 10","PIC-HAZ-2GM-SAC-240-LAD-C10","12000","05-May-2025"
"MT (50%)","undefined","Instant Coffee Hazelnut 2g Sachet Ladi Case of 240","PIC-HAZ-2GM-SAC-240-LAD","1800","05-May-2025"
"MT (50%)","undefined"," 100% Robusta Agglo Coffee","INST-AGGLO","500","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Original Whole Beans 250g Case of 20","RNG-ORG-250-WHL-C20","5000","05-May-2025"
"MT (50%)","undefined","Sleepy owl instant coffee original Sachet -2g( Plastic) Pack of 200 Case of 10","PIC-ORG-2GM-SAC-200-C10","15000","05-May-2025"
"MT (50%)","undefined","Sleepy owl instant coffee original Sachet -2g( Plastic) Pack of 200","PIC-ORG-2GM-SAC-200","1500","05-May-2025"
"MT (50%)","undefined","New MRP Instant Coffee French Vanilla Pack of 30 Sachets Case of 20","PIC-FVA-30P-SAC-C20-MRP","4500","05-May-2025"
"MT (50%)","undefined","Cold Coffee Can Salted Caramel 230ml Case of 24","CCC-SCA-230-CAN-C24","1500","05-May-2025"
"MT (50%)","undefined","Hot Brew Bags Hazelnut Set of 10 Bags Case of 20","HBB-HAZ-10P-BAG-C20","5000","05-May-2025"
"MT (50%)","undefined","Instant Coffee Assorted Pack of 96 Sachets Case of 8","PIC-AST-96P-SAC-C08","5760","05-May-2025"
"MT (50%)","undefined","Cold Coffee Can Hazelnut 230ml Case of 24","CCC-HAZ-230-CAN-C24","1500","05-May-2025"
"MT (50%)","undefined","Instant Coffee Assorted Case of 48 Sachets Case of 8","PIC-AST-48P-SAC-C08","2880","05-May-2025"
"MT (50%)","undefined","New MRP Instant Coffee Hazelnut Pack of 30 Sachets Case of 20","PIC-HAZ-30P-SAC-C20-MRP","4500","05-May-2025"
"MT (50%)","undefined","Premix Coffee Hazelnut Box of 5 Sachets Case of 30","PMC-HAZ-05P-SAC-C30","3750","05-May-2025"
"MT (50%)","undefined","Instant Coffee Xpresso Pack of 25 Sachets Case of 20","PIC-XPR-25P-SAC-C20","2500","05-May-2025"
"MT (50%)","undefined","Instant Coffee Original 2g Sachet Ladi Case of 240","PIC-ORG-2GM-SAC-240-LAD","1800","05-May-2025"
"MT (50%)","undefined","Instant Coffee Decaf 1.5g Sachet Pack of 200 Case of 10","PIC-DCF-1G5-SAC-200-C10","20000","05-May-2025"
"MT (50%)","undefined","Instant Coffee Decaf 1.5g Sachet Pack of 200","PIC-DCF-1G5-SAC-200","2000","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee French Vanilla Coarse Grind 250g Case of 20","RNG-FVA-250-COR-C20","5250","05-May-2025"
"MT (50%)","undefined","Percos Assorted Instant Coffee Pack of 10 Case of 76","PIC-AST-10P-SAC-C76-PER","3800","05-May-2025"
"MT (50%)","undefined","Catalogue All Products","Catalogue","0","05-May-2025"
"MT (50%)","undefined","Hot Brew Bags French Vanilla Set of 10 Bags","HBB-FVA-10P-BAG-ONE","250","05-May-2025"
"MT (50%)","undefined","Hot Brew Bags Assorted Set of 10 Bags","HBB-AST-10P-BAG-ONE","250","05-May-2025"
"MT (50%)","undefined","Instant Coffee French Vanilla Pack of 30 Sachets Case of 20","PIC-FVA-30P-SAC-C20","3000","05-May-2025"
"MT (50%)","undefined","Instant Coffee Filter Kaapi 2g Sachet Pack of 200 Case of 10","PIC-FKP-2GM-SAC-200-C10","15000","05-May-2025"
"MT (50%)","undefined","Instant coffee- 70/30 Robusta Chicory Blend - Case of 25kg","INS-FKP-25K-BOX-ONE","1179.5","05-May-2025"
"MT (50%)","undefined","Instant Coffee 100% Arabica - Case of 23 kg","INS-ORG-23K-BOX-ONE","1769.5","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Sampler Pack Coarse Grind Case of 8","RNG-AST-SAM-COR-C08","1600","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Sampler Pack Fine Grind Case of 8","RNG-AST-SAM-FIN-C08","1600","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Sampler Pack Medium Grind Case of 8","RNG-AST-SAM-MED-C08","1600","05-May-2025"
"MT (50%)","undefined","Hot Brew Bag Original Bag Case of 600 Akasa Air","HBB-ORG-ONE-BAG-600-AKA","30000","05-May-2025"
"MT (50%)","undefined","Hot Brew Bag Original Bag Case of 600 Air Asia","HBB-ORG-ONE-BAG-600-ASI","30000","05-May-2025"
"MT (50%)","undefined","Roast & Ground Coffee Dark Roast Whole Beans-3 Kg","RNG-DRK-3KG-WHL-ONE","3750","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Original Coarse Grind 3kg","RNG-ORG-3KG-COR-ONE","3750","05-May-2025"
"MT (50%)","undefined","Cold Brew Vanilla - Pack of 300 - Zepto Cafe","CBB-FVA-ONE-BAG-300","27000","05-May-2025"
"MT (50%)","undefined","Combo Keka Assorted instant coffee Pack of 10 + Keka Ground coffee mug","CMB-GRD-KEK","300","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Hazelnut Medium Grind 250g Case of 20","RNG-HAZ-250-MED-C20","5250","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Filter Kappi Fine Grind 250g Case of 20","RNG-FKP-250-FIN-C20","3250","05-May-2025"
"MT (50%)","undefined","Cold Coffee Can Caramel Latte 230ml Case of 24","CCC-LAT-230-CAN-C24","1500","05-May-2025"
"MT (50%)","undefined","Cold Coffee Can Caramel Latte 230ml","CCC-LAT-230-CAN-ONE","62.5","05-May-2025"
"MT (50%)","undefined","Instant coffee classic- 1.5g Sachet(Horeca) Pack of 500 Case of 5","PIC-CLA-1G5-SAC-500-HOR-C05","15000","05-May-2025"
"MT (50%)","undefined","Premium Instant coffee Filter Kaapi Pack Of 1kg","PIC-FKP-1KG-BAG-ONE","1800","05-May-2025"
"MT (50%)","undefined","Ground Coffee Mug (Co branded) + Pack of 10 Assorted Sachets (Co branded)","CMB-GRD-V07","300","05-May-2025"
"MT (50%)","undefined","Instant Coffee Hazelnut 2g Sachet - NEW","PIC-HAZ-2GM-SAC-ONE-NEW","7.5","05-May-2025"
"MT (50%)","undefined","Instant Coffee French Vanilla 2g Sachet - NEW","PIC-FVA-2GM-SAC-ONE-NEW","7.5","05-May-2025"
"MT (50%)","undefined","Instant Coffee Original 2g Sachet - NEW","PIC-ORG-2GM-SAC-ONE-NEW","7.5","05-May-2025"
"MT (50%)","undefined","Carry Bag - Big","CARRYBAGS-B","0.005","05-May-2025"
"MT (50%)","undefined","Instant Coffee Filter Kaapi 2g Sachet Pack of 200","PIC-FKP-2GM-SAC-200","1500","05-May-2025"
"MT (50%)","undefined","Hazelnut Hot Brew Bags - Single (New)","HBB-HAZ-ONE-BAG-ONE","25","05-May-2025"
"MT (50%)","undefined","French Vanilla Hot Brew Bags - Single (New)","HBB-FVA-ONE-BAG-ONE","25","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Medium Roasted and Ground Coarse Grind 20g","RNG-MED-20G-COR-ONE","25","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Dark Roasted and Ground Coarse Grind 20g","RNG-DRK-20G-COR-ONE","25","05-May-2025"
"MT (50%)","undefined","Premix Coffee Assorted Box of 3 Sachets","PMC-AST-03P-SAC-ONE","75","05-May-2025"
"MT (50%)","undefined","Hot Brew Bag Dark Roast","HBB-DRK-ONE-BAG-ONE","25","05-May-2025"
"MT (50%)","undefined","Sleepy Owl Bopp Tape","BOPPTAPE","20.355","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Original Coarse Grind 1kg","RNG-ORG-1KG-COR-ONE","1250","05-May-2025"
"MT (50%)","undefined","Hot Brew Original - Pack of 3 bags - Akasa Air Special","HBB-ORG-03P-BAG-ONE-AKA","75","05-May-2025"
"MT (50%)","undefined","Premium Instant Coffee 100gm-Filter kaapi (Glass)","PIC-FKP-100-GLJ-ONE-NEW","224.5","05-May-2025"
"MT (50%)","undefined","Premix Coffee Assorted Box of 3 Sachets Case of 2","PMC-AST-03P-SAC-P02","150","05-May-2025"
"MT (50%)","undefined","Premix Coffee Hazelnut Box of 5 Sachets","PMC-HAZ-05P-SAC-ONE","125","05-May-2025"
"MT (50%)","undefined","Ceramic Mugs - Blue-FG case of 2","MER-MUG-CER-BLU-C02","599","05-May-2025"
"MT (50%)","undefined","Sleepy Owl Instant Gift Set - 32 Assorted Coffee Sachets + Brignten Up Mug","CMB-BMY-V05","549.5","05-May-2025"
"MT (50%)","undefined","Xpresso, Strong Blend Instant Coffee 100gm (Glass)","PIC-XPR-100-GLJ-ONE-NEW","249.5","05-May-2025"
"MT (50%)","undefined","Premium Instant coffee 100g- Original( Glass)","PIC-ORG-100-GLJ-ONE-NEW","374.5","05-May-2025"
"MT (50%)","undefined","Premium Instant coffee 100g- Hazelnut( Glass)","PIC-HAZ-100-GLJ-ONE-NEW","374.5","05-May-2025"
"MT (50%)","undefined","Premium Instant coffee 100g- Vanilla( Glass)","PIC-FVA-100-GLJ-ONE-NEW","374.5","05-May-2025"
"MT (50%)","undefined","Premix Coffee Cappuccino Box of 5 Sachets","PMC-CAP-05P-SAC-ONE","125","05-May-2025"
"MT (50%)","undefined","Premium Instant Coffee 100gm-Filter kaapi (Glass) Case of 2","PIC-FKP-100-GLJ-C02","449","05-May-2025"
"MT (50%)","undefined","Sleepy Owl Premium Latte Kit | Black Frother + Po10 Coffee Sachets","CMB-FRT-V09","699.5","05-May-2025"
"MT (50%)","undefined","Sleepy Owl Premium Latte Kit | White Frother + Po10 Coffee Sachets","CMB-FRT-V10","699.5","05-May-2025"
"MT (50%)","undefined","Percos Assorted Instant Coffee Pack of 10","PIC-AST-10P-SAC-ONE-PER","50","05-May-2025"
"MT (50%)","undefined","Instant Coffee French Vanilla Set of 10 Sachets","PIC-FVA-10P-SAC-ONE","75","05-May-2025"
"MT (50%)","undefined","Gift Box - Ceramic Mug (Blue) & HBA 10 & P10","CMB-MUG-BLU-HBA-P10","599.5","05-May-2025"
"MT (50%)","undefined","Instant Coffee Original Set of 10 Sachets","PIC-ORG-10P-SAC-ONE","75","05-May-2025"
"MT (50%)","undefined","Premix Coffee Assorted Box of 18 Sachets Case of 8","PMC-AST-18P-SAC-C08","3600","05-May-2025"
"MT (50%)","undefined","Instant Coffee Hazelnut Set of 10 Sachets","PIC-HAZ-10P-SAC-ONE","75","05-May-2025"
"MT (50%)","undefined","Premix Coffee Hazelnut Box of 3 Sachets","PMC-HAZ-03P-SAC-ONE","75","05-May-2025"
"MT (50%)","undefined","Hot Brew Bags Caramel Set of 10 Bags","HBB-CAR-10P-BAG-ONE","250","05-May-2025"
"MT (50%)","undefined","Enamel Mugs - Forest Green-FG","MER-MUG-ENM-FGR-ONE","299.5","05-May-2025"
"MT (50%)","undefined","Premix Coffee French Vanilla Box of 3 Sachets","PMC-FVA-03P-SAC-ONE","75","05-May-2025"
"MT (50%)","undefined","Premix Coffee Cappuccino Box of 3 Sachets","PMC-CAP-03P-SAC-ONE","75","05-May-2025"
"MT (50%)","undefined","Premix Coffee Hazelnut ","PMC-HAZ-ONE-SAC-ONE","25","05-May-2025"
"MT (50%)","undefined","Premix Coffee French Vanilla","PMC-FVA-ONE-SAC-ONE","25","05-May-2025"
"MT (50%)","undefined","Premix Coffee Cappuccino","PMC-CAP-ONE-SAC-ONE","25","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Original Whole Beans 1kg","RNG-ORG-1KG-WHL-ONE","1250","05-May-2025"
"MT (50%)","undefined","Roasted and Ground Coffee Original Medium Roast 1kg","RNG-ORG-1KG-WHL-MED","1250","05-May-2025"
"MT (50%)","undefined","Roast & Ground Coffee Dark Roast Whole Beans-1 Kg","RNG-DRK-1KG-WHL-ONE","1250","05-May-2025"
"MT (50%)","undefined","Hanger Premix Sachet","POS-HGR-PMC-ONE","0.005","05-May-2025"
"MT (50%)","undefined","Hanger Instant Sachet","POS-HGR-ONE","0.005","05-May-2025"
"MT (50%)","undefined","Wobbler Glass Jar","Wobbler","0","05-May-2025"
"MT (50%)","undefined","Shelf Strip Glass Jar","Shelf Strip","0","05-May-2025"
"MT (50%)","undefined","Poster Glass jar","Poster","0","05-May-2025"
"MT (50%)","undefined","Dangler Glass Jar","Dangler","0","05-May-2025"
"MT (50%)","undefined","POS Hanger","Hanger","0.005","05-May-2025"
"MT (50%)","undefined","Premix Coffee Assorted Box of 18 Sachets Case of 12	","PMC-AST-18P-SAC-C12","5400","05-May-2025"
"MT (50%)","undefined","Premix Coffee Hazelnut Ladi pack of 80","PMC-HAZ-20G-SAC-080-LAD","2000","05-May-2025"
"MT (50%)","undefined","Premix Coffee French Vanilla Ladi Pack of 80","PMC-FVA-20G-SAC-080-LAD","2000","05-May-2025"
"MT (50%)","undefined","Premix Coffee Cappuccino Ladi pack of 80","PMC-CAP-20G-SAC-080-LAD","2000","05-May-2025"
"MT (50%)","undefined","Sleepy Owl Cold Brew Black Coffee - 230ml single can","CCC-BLK-230-CAN-ONE","97.5","05-May-2025"
"MT (50%)","undefined","Sleepy Owl Cold Coffee Can - Vietnamese 200+30 ML","CCC-VIE-230-CAN-ONE","87.5","05-May-2025"
"MT (50%)","undefined","Sleepy Owl Cold Coffee Can - Vanilla 200+30 ML","CCC-FVA-230-CAN-ONE","62.5","05-May-2025"
"MT (50%)","undefined","Instant Coffee Decaf 1.5g Sachet","PIC-DCF-1G5-SAC-ONE","10","05-May-2025"
"MT (50%)","undefined","Instant Coffee Sachet Assorted Pack of 60 -- Case of 12","PIC-AST-60P-SAC-C12","5400","05-May-2025"
"MT (50%)","undefined","Premium Instant Coffee 100gm-Filter kaapi (Glass) -24 Boxes","PIC-FKP-100-GLJ-C24-NEW","5388","05-May-2025"
"MT (50%)","undefined","Hot Brew Original -03","HBB-ORG-03P-BAG-ONE","50","05-May-2025"
"MT (50%)","undefined","Instant coffee classic- 1.5g Sachet(Horeca)","PIC-CLA-1G5-SAC-ONE-HOR","6","05-May-2025"
"MT (50%)","undefined","Premix Coffee French Vanilla Box of 5 Sachets","PMC-FVA-05P-SAC-ONE","125","05-May-2025"
"MT (50%)","undefined","Sleepy owl instant coffee Xpresso Sachet -1gm","PIC-XPR-1GM-SAC-ONE","2.5","05-May-2025"
"MT (50%)","undefined","Sleepy Owl Sweet 200ml - Set of 12 Box","RTD-SWE-200-BTL-C12","241.98","05-May-2025"
"MT (50%)","undefined","Instant Coffee Glass Jar Original + Ground Coffee Mug Combo","CMB-GRD-V04","399.5","05-May-2025"
"MT (50%)","undefined","Ground Coffee Mug","MER-MUG-GRD-REG-ONE","250","05-May-2025"
"MT (50%)","undefined","Instant Coffee Glass Jar Vanilla + Ground Coffee Mug Combo","CMB-GRD-V02","399.5","05-May-2025"
"MT (50%)","undefined","Sleepy Owl Cold Coffee Can - French Vanilla 200+30 ML- Set of 24","CCC-FVA-230-CAN-C24","1500","05-May-2025"
"MT (50%)","undefined","Xpresso, Strong Blend Instant Coffee 100gm (Glass)-24 Boxes","PIC-XPR-100-GLJ-C24-NEW","5988","05-May-2025"
"MT (50%)","undefined","Premium Instant coffee 100g- Original( Glass)- 24 boxes","PIC-ORG-100-GLJ-C24-NEW","8988","05-May-2025"
"MT (50%)","undefined","Premium Instant coffee 100g- Hazelnut( Glass)- 24 boxes","PIC-HAZ-100-GLJ-C24-NEW","8988","05-May-2025"
"MT (50%)","undefined","Premium Instant coffee 100g- Vanilla( Glass)- 24 boxes","PIC-FVA-100-GLJ-C24-NEW","8988","05-May-2025"
"MT (50%)","undefined","Xpresso, Strong Blend Instant Coffee 100gm (Glass)","PIC-XPR-100-GLJ-CRB","249.5","05-May-2025"
"MT (50%)","undefined","Premium Instant coffee 100g- Hazelnut( Glass)","PIC-HAZ-100-GLJ-CRB","374.5","05-May-2025"
"MT (50%)","undefined","Premium Instant coffee 100g- Vanilla( Glass)","PIC-FVA-100-GLJ-CRB","374.5","05-May-2025"
"MT (50%)","undefined","Original Glass Jar","PIC-ORG-100-GLJ-CRB","374.5","05-May-2025"
