h tCustomer ID,Customer Name,GST Number,Billing Address,Shipping Address,Rate Card Reference,Created On,Phone,Remarks
B2BCUST-534,"CHALET HOTELS LTD (UNIT - FOUR POINTS BY SHERATON NAVI MUMBAI, VASHI)","27AAACK0411E1Z9","CHALET HOTELS LTD (UNIT - FOUR POINTS BY SHERATON NAVI MUMBAI, VASHI) Address: Plot No.39/1, 6 to 15, Sector. 30A Vashi, Navi Mumbai- 400701 India, Ankesh Khedekar  M 91 8879788879","CHALET HOTELS LTD (UNIT - FOUR POINTS BY SHERATON NAVI MUMBAI, VASHI) Address: Plot No.39/1, 6 to 15, Sector. 30A Vashi, Navi Mumbai- 400701 India, Ankesh Khedekar  M 91 8879788879","N/A",26-May-2025,"8879788879","N/A"
B2BCUST-533,"GG E-SPORTS AND ENTERTAINMENT","27ABBFG9622Q1ZS","Commercial Block No 4,5,6,7,8,9A,10,11,12 & 12A, First Floor, South Ambazari Road, Opp to VNIT Gate, Gopal Nagar, Nagpur, 440022, Maharashtra, Divyam 8421110939","Next Level, Shop No 4.5.6. A Wing First Floor, Shewalkar Gardens Mate Square, Gopal Nagar, Nagpur - 440022, Maharashtra, Divyam 8421110939","N/A",26-May-2025,"8421110939","N/A"
B2BCUST-532,"Hands on Trades Private Limited ( Bhopal)","23AADCH7038R2Z4","725/2/1, 725/2/2, & 725/2/3 Pipalia Jahirpeer Bhopal, M.P - 462010","725/2/1, 725/2/2, & 725/2/3 Pipalia Jahirpeer Bhopal, M.P - 462010","Blinkit Special Rate Card",26-May-2025,"92850 20102","N/A"
B2BCUST-531,"Swapnil Navadkar","NA","A504 GLORY VASANT MARVEL CHS WESTERN EXPRESS HIGHWAY BORIVALI EAST MUMBAI 400066, Sachchidanand Navadkar 9820207722, 7208006777","A504 GLORY VASANT MARVEL CHS WESTERN EXPRESS HIGHWAY BORIVALI EAST MUMBAI 400066, Sachchidanand Navadkar 9820207722, 7208006777","N/A",24-May-2025,"9820207722, 7208006777","N/A"
B2BCUST-530,"AIR INDIA EXPRESS LIMITED-DELHI DEL","07AABCA0522B1ZM","ROOM NO B02, Air India Express, BASEMENT AIR INDIA RESERVATION OFFICE, Safdarjung Airport, SOUTH DELHI, South Delhi, Delhi, 110003, TOUSIF HASSAN	7838541811","M/s. Taj  Flight Kitchen Air India Express, C/o TAJ SATS AIR CATERING LTD.INDIRA GANDHI INTERNATIONAL AIRPORT COMPLEX, GURGAON ROAD DELHI 110037, TOUSIF HASSAN	7838541811","N/A",24-May-2025,"7838541811","N/A"
B2BCUST-529,"AIR INDIA EXPRESS LIMITED -KOLKATA CCU","19AABCA0522B1ZH","2nd, Floor, Airlines House, NSCBI Airport, 39 C R Avenue Kolkata, Kolkata, West Bengal, 700052, SUSANTA BOSE	99033 98745","M/s. Taj  Flight Kitchen, TAJSATS AIR CATERING LTD. Airport Gate 2 and half Netaji Subhash Chandra Bose International Airport, Kolkatta 700052, SUSANTA BOSE	99033 98745","N/A",24-May-2025,"9903398745","N/A"
B2BCUST-528,"NAILIN.IT-Mansi Kanthikar","NA","408, Shalimar Morya Park, New Link Road, Adarsh Nagar, Jogeshwari West, Mumbai, Maharashtra 400102, Milind Modi - 9833385713","408, Shalimar Morya Park, New Link Road, Adarsh Nagar, Jogeshwari West, Mumbai, Maharashtra 400102, Milind Modi - 9833385713","N/A",24-May-2025,"9833385713","N/A"
B2BCUST-527,"Drama LLama","33AAKCD9204E1ZW","Ship To Address : Sleepy owl Coffee Private Limited, C/O Pramod Misal, Unit No 18, Third Floor, A wing Gami Industrial Park Powne MIDC Navi Mumbai 400705 GST No. : State Name : Maharashtra, Code : 27"," Drama Llama Beverages Pvt. Ltd , C/O Pramod Misal, Unit No 18, Third Floor, A wing Gami Industrial Park Powne MIDC Navi Mumbai 400705 GST No. : State Name : Maharashtra, Code : 27 Ph: 9843123942","N/A",23-May-2025,"Gaurav Kochar - 9843123942","N/A"
B2BCUST-526,"Mr. Akshay Jain","NA","NA building, Near GD Apartments, Near Primary School, Division-4 Itanagar Pincode- 791111 Arunachal Pradesh, Akshay Jain 9555034019","NA building, Near GD Apartments, Near Primary School, Division-4 Itanagar Pincode- 791111 Arunachal Pradesh, Akshay Jain 9555034019","N/A",23-May-2025,"9555034019","N/A"
B2BCUST-525,"Kiranakart Technologies Private Limited CHN-DRY MH (CHN006M) Zepto Cafe","33AAICK4821A1Z2","Kiranakart Technologies Private Limited CHN-DRY MH (CHN006M) Survey No 181/183/196, Angadu Road, Siruniyam Village, Ponneri Taluk, Thiruvallur District, Chennai, Pincode - 600067","Kiranakart Technologies Private Limited CHN-DRY MH (CHN006M) Survey No 181/183/196, Angadu Road, Siruniyam Village, Ponneri Taluk, Thiruvallur District, Chennai, Pincode - 600067","N/A",23-May-2025,"NA","N/A"
B2BCUST-524,"Kiranakart Technologies Private Limited HYD-MH 3 (HYD004M) Zepto Cafe","36AAICK4821A1ZW","Kiranakart Technologies Private Limited HYD-MH 3 (HYD004M) SYNo-51,Banda Mailaram Village, Mulugu Mandal,Medak,Telangana 502336","Kiranakart Technologies Private Limited HYD-MH 3 (HYD004M) SYNo-51,Banda Mailaram Village, Mulugu Mandal,Medak,Telangana 502336","N/A",23-May-2025,"NA","N/A"
B2BCUST-523,"Hands on Trades Private Limited ( K5 Kolkata)","19AADCH7038R1ZU","B5-38/New, BBT Road, Maheshtala, Kolkata, South Twenty Four Parganas, West Bengal - 700141","B5-38/New, BBT Road, Maheshtala, Kolkata, South Twenty Four Parganas, West Bengal - 700141","Blinkit Special Rate Card",23-May-2025,"7415409130","N/A"
B2BCUST-522,"MELTING CHEESE","29ABWFM1644D1ZY","12, GROUND FLOOR , AVENUE ROAD CROSS, Bengaluru Bengaluru Urban, KARNATAKA, 560053, 7760808360","No.2, Ground Floor, 3rd Cross, HMS Layout, Arehalli, Opp MR Sannidhi Apartment Bangalore South, KARNATAKA, 560061, 7760808360","N/A",22-May-2025,"7760808360","N/A"
B2BCUST-521,"Kiranakart Technologies Private Limited BLR-DRY-MH-SUMADHURA (BLR142M) Zepto Cafe","29AAICK4821A1ZR","Kiranakart Technologies Private Limited BLR-DRY-MH-SUMADHURA (BLR142M) Block -D, Sumadhura logistics Park, 11, Hoskote –Chintamani Road, Medreich bus stop, Nandagudi Hobli, Doddaganahalli, Hoskote, Bangalore (Rural) - 562122","Kiranakart Technologies Private Limited BLR-DRY-MH-SUMADHURA (BLR142M) Block -D, Sumadhura logistics Park, 11, Hoskote –Chintamani Road, Medreich bus stop, Nandagudi Hobli, Doddaganahalli, Hoskote, Bangalore (Rural) - 562122","N/A",22-May-2025,"NA","N/A"
B2BCUST-520,"Kiranakart Technologies Private Limited BLR-MYLAPURA MH (BLR005M) Zepto Cafe","29AAICK4821A1ZR","Kiranakart Technologies Private Limited BLR-MYLAPURA MH (BLR005M) Sy no.70/2.70/3.70/4.70/5,70/6,70/7 71/2. 71/3.71/4 & 72/1, Jadegenahalli Hobli, Mylapura Village, Hoskote, Bengaluru Rural, Karnataka, 562114","Kiranakart Technologies Private Limited BLR-MYLAPURA MH (BLR005M) Sy no.70/2.70/3.70/4.70/5,70/6,70/7 71/2. 71/3.71/4 & 72/1, Jadegenahalli Hobli, Mylapura Village, Hoskote, Bengaluru Rural, Karnataka, 562114","N/A",22-May-2025,"NA","N/A"
B2BCUST-519,"Kiranakart Technologies Private Limited BLR-Nelamangala-DRYMH (BLR065M) Zepto Cafe","29AAICK4821A1ZR","Kiranakart Technologies Private Limited BLR-Nelamangala-DRYMH (BLR065M), 100/1A,100/1B,100/5,101,102/1,102/2 SITUATED AT ALUR VILLAGE, DASANPURA, HOBLI, Bangalore, North, Bangalore Urban, Karnataka-562162","Kiranakart Technologies Private Limited BLR-Nelamangala-DRYMH (BLR065M), 100/1A,100/1B,100/5,101,102/1,102/2 SITUATED AT ALUR VILLAGE, DASANPURA, HOBLI, Bangalore, North, Bangalore Urban, Karnataka-562162","N/A",22-May-2025,"NA","N/A"
B2BCUST-518,"Sleepy Owl Coffee Private Limited PNQ3","27AAYCS8675E1ZF","Sleepy Owl Coffee Private Limited Tat-Khed, Building No.B01,ESR Pune Estates Pvt LTD., Gat No. 380,381,384,385,388,389,391,390,392 & 395,Village Ambethan, Dehu, Pune, Maharashtra, 410501","Sleepy Owl Coffee Private Limited Tat-Khed, Building No.B01,ESR Pune Estates Pvt LTD., Gat No. 380,381,384,385,388,389,391,390,392 & 395,Village Ambethan, Dehu, Pune, Maharashtra, 410501","Stock Transfer to FBA Rate Card",21-May-2025,"NA","N/A"
B2BCUST-517,"Novotel New Delhi City Centre (A Unit of D J Infrastructure Developer Pvt Ltd.)","07AACCD2756K1ZJ","Novotel New Delhi City Centre (A Unit of DJ Infrastructure Pvt. Ltd.) 1, Community Centre, Desh Bandhu Gupta Road  Near Rani Jhansi Statue, Motia Khan, New Delhi, Delhi – 110055, Rahul Singh 9266900160","Novotel New Delhi City Centre (A Unit of DJ Infrastructure Pvt. Ltd.) 1, Community Centre, Desh Bandhu Gupta Road  Near Rani Jhansi Statue, Motia Khan, New Delhi, Delhi – 110055, Rahul Singh 9266900160","N/A",20-May-2025,"9266900160","N/A"
B2BCUST-516,"M/S F.Z. ENTERPRISES","09AAGPZ4888H1ZS","GROUND FLOOR ,149 PARTHALA KHANJARPUR SECTOR,122 NOIDA GAUTAM BUDDHA NAGAR UTTAR PRADESH 201301, Gautam Buddha Nagar , Uttar Pradesh-201301","GROUND FLOOR ,149 PARTHALA KHANJARPUR SECTOR,122 NOIDA GAUTAM BUDDHA NAGAR UTTAR PRADESH 201301, Gautam Buddha Nagar , Uttar Pradesh-201301, 9315699968,9999777272","N/A",20-May-2025,"9315699968","N/A"
B2BCUST-515,"Goldfinch Hotel Delhi NCR","NA","Goldfinch Hotel Delhi NCR Sector 39, Surajkund, Faridabad, Haryana - 121010 POC: Omkar – +91 95607 86182","Goldfinch Hotel Delhi NCR Sector 39, Surajkund, Faridabad, Haryana - 121010 POC: Omkar – +91 95607 86182","N/A",19-May-2025,"9560786182","N/A"
B2BCUST-514,"Keka HR Hyderabad","NA","Keka HR, 12th Floor, Vasavi Skycity, Telecom Nagar, Gachibowli, Hyderabad, Telangana - 500032 POC: Siva – +91 70133 32806","Keka HR, 12th Floor, Vasavi Skycity, Telecom Nagar, Gachibowli, Hyderabad, Telangana - 500032 POC: Siva – +91 70133 32806","N/A",19-May-2025,"7013332806","N/A"
B2BCUST-513,"DoubleTree by Hilton Gurgaon - New Delhi NCR","NA","DoubleTree by Hilton Gurgaon - New Delhi NCR Sector 56, Golf Course Road, Gurgaon, Haryana - 122011, India POC Anil : +91 813 039 1557","DoubleTree by Hilton Gurgaon - New Delhi NCR Sector 56, Golf Course Road, Gurgaon, Haryana - 122011, India POC Anil :+91 813 039 1557","N/A",19-May-2025,"9871084591","N/A"
B2BCUST-512,"Bloom Hotel DLF Road","36AABCI6836L1Z7","Imperativ Hospitality Private Limited PLOT NO-1 & 10,JAYABHREE ENVCLAVE,GACHIBOWLI VILLAGE,RANGAREDDY DISTT. Hyderabad 36-TS 500032 IN, Vishal +919678477690","Bloom Hotel DLF Road PLOT NO-1 & 10,JAYABHREE ENVCLAVE,GACHIBOWLI VILLAGE,RANGAREDDY DISTT. Hyderabad 36-TS 500032 IN, Vishal +919678477690","N/A",19-May-2025,"9678477690, 9654379580","N/A"
B2BCUST-511,"RAJASTHAN ICE & COLD STORAGE NOVOTEL JODHPUR","08AAAFR9729F1ZZ","RAJASTHAN ICE & COLD STORAGE NOVOTEL JODHPUR, 21, LIGHT INDUSTRIAL AREA, JODHPUR, Jodhpur, Rajasthan, 342001, Tikam Singh,  M +91 9828044568,  91 9773396959","Novotel Jodhpur ITI Circle  Plot no. 21 , Light Industrial Area  CAZRI Road Jodhpur  Rajasthan 342001, Tikam Singh,  M +91 9828044568,  91 9773396959","N/A",19-May-2025,"9828044568","N/A"
B2BCUST-510,"Kiranakart Technologies Private Limited MUM-DRY-MH3 (MUM012M) - Zepto cafe","27AAICK4821A1ZV","Kiranakart Technologies Private Limited MUM-DRY-MH3 (MUM012M) H No-180/10 Building AB, Global Complex, Opposite Shangrila, Resort, Bhiwandi, 421302","Kiranakart Technologies Private Limited MUM-DRY-MH3 (MUM012M) H No-180/10 Building AB, Global Complex, Opposite Shangrila, Resort, Bhiwandi, 421302","N/A",16-May-2025,"NA","N/A"
B2BCUST-509,"Theos Foods Pvt Ltd.","09AAECT8306P1ZP","DYNAMIC HOUSE,MAIN DADRI ROAD, SECTOR-41, NOIDA, UTTAR PRADESH, India, 201301, ","THEOS FOOD  THEOS FOOD CENTRAL STORE  A 1, Dynamic House, Sector 41 Noida U P, Noida, Uttar Pradesh - 201303","N/A",16-May-2025,"9540666767","N/A"
B2BCUST-508,"Devaaya Ayurveda and Nature Cure Center","30AABCA6880E3Z0","Alcon Resort Holdings Private Limited, Devaaya Ayurveda And Nature Cure Center, Malar Amboicho Muddi, Tiswadi, North Goa, Goa 403403, 9607975948, 8322280500","Devaaya Ayurveda and Nature Cure Center, Mercure Goa Devaaya Resort, Divar Island ,Goa 403403, India, Aapa Thakur 9607975948, 8322280500","N/A",15-May-2025,"9607975948","N/A"
B2BCUST-507,"ARYAVARTA HOSPITALITY-CLARKS INN SUITES Raipur","22ABKFA6250F1ZS","ARYAVARTA HOSPITALITY, G.E ROAD/VIP ROAD, G.E ROAD, RAIPUR, Raipur, Chhattisgarh, 492001, Shreya Chauhan 9981530728","CLARKS INN SUITES Raipur G.E Road, Near VIP Square, Raipur, Chhattisgarh, 492001, Shreya Chauhan 9981530728","N/A",14-May-2025,"9981530728","N/A"
B2BCUST-506,"Bloom Hotel - Sector 45 Gurgaon","06AABCI6836L1ZA","Imperativ Hospitality Private Limited 2002 P , Sector 45, Gurgaon Gurgaon 06-HR 122003 IN,  Parul Sharma 7009273726","Bloom Hotel - Sector 45 Gurgaon 2002 P , Sector 45, Gurgaon Gurgaon 06-HR 122003 IN,  Parul Sharma 7009273726","N/A",14-May-2025,"7009273726","N/A"
B2BCUST-505,"NEW KENILWORTH HOTEL PVT LIMITED","19AABCN0986A1ZM","NEW KENILWORTH HOTEL PVT LIMITED, 1 AND 2, LITTLE RUSSEL STREET, KOLKATA, Kolkata, West Bengal, 700071","Kenilworth Hotel, Kolkata, 1 & 2, Little Russel Street, Kolkata - 700071, West Bengal India T +91 33 66214100 | M +916292242976","N/A",14-May-2025,"6292242976","N/A"
B2BCUST-504,"SANSAI PROPERTIES AND HOTELS PRIVATE LIMITED-Clarks Inn Suites Gwalior","23AASCS7124E1ZB","SANSAI PROPERTIES AND HOTELS PRIVATE LIMITED, Clarks Inn Suites Gwalior, M.L.B. Road, Phoolbagh, Gwalior, 474009, Madhya Pradesh, India, Digambar Singh 7440400612","Clarks Inn Suites Gwalior, M.L.B. Road, Phoolbagh, Gwalior, 474009, Madhya Pradesh, India, Digambar Singh 7440400612","N/A",14-May-2025,"7440400612","N/A"
B2BCUST-503,"PUSHPANJALI HOTELS PRIVATE LIMITED-DUDHWA CLARKS INN LUCKNOW","09AABCP0561D3ZQ","PUSHPANJALI HOTELS PRIVATE LIMITED, 4, SHANAZAF ROAD, HAZRATGANJ, LUCKNOW, Lucknow, Uttar Pradesh, 226001","DUDHWA CLARKS INN LUCKNOW, PALIA CHAURAHA,NIGHASHAN  ROAD, PALIA KALAN ,LAKHMPUR KHERI-262902, Uttar Pradesh, Mahesh Kumar 7571000990","N/A",13-May-2025,"7571000990","N/A"
B2BCUST-502,"CHALET HOTELS LIMITED, Unit – The Westin Hyderabad Hitec City","36AAACK0411E2Z9","Building No. 22, Survey No. 64, Mindspace,  APIIC Software Layout, Hitech City , Madhapur  Hyderabad, TS, 500081, IN  Attn:  Shiva Shivudu  Phone:  8179247233","The Westin Hyderabad Hitec City  Building No. 22, Survey No. 64, Mindspace,  APIIC Software Layout, Hitech City , Madhapur  Hyderabad, TS, 500081, IN  Attn:  Shiva Shivudu  Phone:  8179247233","N/A",13-May-2025,"8179247233","N/A"
B2BCUST-501,"AIR INDIA EXPRESS LIMITED-Bangalore BLR","29AABCA0522B1ZG","AIR INDIA EXPRESS LIMITED, AIRLINE HOUSE, HAT HILL, LALBAUG, MANGLORE, DAKSHINA KANNADA, KARNATAKA, 575004","M/s. Taj  Flight Kitchen, TAJ SATS Air catering limited, Bengaluru international Airport Devanahalli, BANGALORE 560300, HARISH NAIR 8075010829","N/A",13-May-2025,"8075010829","N/A"
B2BCUST-500,"Hotel Yellow Bells-Clarks Inn Express Rishikesh","05AGSPA5475D2ZF","Rawat Tyre Service, 192, Opposite Shyam Cement, Dehradun Road, Ashutosh Nagar, Rishikesh, Dehradun, Uttarakhand, 249201","Clarks Inn Express Rishikesh, Rawat Tyre Service, 192, Opposite Shyam Cement, Dehradun Road, Ashutosh Nagar, Rishikesh, Dehradun, Uttarakhand, 249201","N/A",12-May-2025,"6398462661","N/A"
