unified_id,order_id,sku_code,product_name,customer_name,order_status,order_type,po_date,delivery_date,taxable_value,order_qty_units,fulfilled_qty_units,shortage_qty,fulfillment_percentage,inventory_age_days,demand_velocity,is_overstocked,is_understocked,is_stockout,priority_score
0bebe576,2135210089713,PIC-DCF-10P-SAC-C68,Instant Coffee Decaf Pack of 10 Sachets Case of 68,Hands On Trades Private Limited (K4 Kolkata),delivered,Blinkit,26 May 2025 12:20:19,07 Jun 2025 00:00:00,62354.6,136,136,0,100.0,14.0,27687.506508206003,0,0,0,1.69
41e9c556,P738415,CCC-FVA-230-CAN-C24,Sleepy Owl Cold Coffee Can - French Vanilla 200+30 ML- Set of 24,KiranaKart Technology Private Limited- HYD,grn_entered,Zepto,13 May 2025 00:54:00,23 May 2025 00:00:00,24471.2,24,24,0,100.0,28.0,1067998.3298523587,0,0,0,20.13
d2822ae4,P738415,CCC-HAZ-230-CAN-C24,Cold Coffee Can Hazelnut 230ml Case of 24,KiranaKart Technology Private Limited- HYD,grn_entered,Zepto,13 May 2025 00:54:00,23 May 2025 00:00:00,24471.2,72,72,0,100.0,28.0,2172187.0469359118,0,0,0,40.46
9d89c509,P738415,PIC-XPR-100-GLJ-C24-NEW,"Xpresso, Strong Blend Instant Coffee 100gm (Glass)-24 Boxes",KiranaKart Technology Private Limited- HYD,grn_entered,Zepto,13 May 2025 00:54:00,23 May 2025 00:00:00,24471.2,24,24,0,100.0,28.0,55419.84732824428,0,0,0,1.48
18260654,P738415,PIC-AST-10P-SAC-C76-MRP,New MRP Instant Coffee Assorted Set of 10 Sachets Case of 76,KiranaKart Technology Private Limited- HYD,grn_entered,Zepto,13 May 2025 00:54:00,23 May 2025 00:00:00,24471.2,76,76,0,100.0,28.0,354587.67041654,0,0,0,6.99
6bc22d45,P815025,PIC-HAZ-10P-SAC-C68,Instant Coffee Hazelnut Set of 10 Sachets Case of 68,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,22 May 2025 00:19:00,05 Jun 2025 00:00:00,56155.2,68,0,68,0.0,19.0,32240.39304973038,0,0,1,11.83
dad71330,P815025,CCC-HAZ-230-CAN-C24,Cold Coffee Can Hazelnut 230ml Case of 24,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,22 May 2025 00:19:00,05 Jun 2025 00:00:00,56155.2,96,96,0,100.0,19.0,2172187.0469359118,0,0,0,41.06
99cdddd0,P815025,CCC-BEL-230-CAN-C24,Cold Coffee Can Belgian Mocha 230ml Case of 24,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,22 May 2025 00:19:00,05 Jun 2025 00:00:00,56155.2,96,0,96,0.0,19.0,574401.6626878248,0,0,1,21.88
32912a68,P815025,PIC-XPR-100-GLJ-C24,Instant Coffee Xpresso 100g Glass Jar Case of 24,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,22 May 2025 00:19:00,05 Jun 2025 00:00:00,56155.2,24,24,0,100.0,19.0,68670.73978652926,0,0,0,2.33
091b4559,P815025,CCC-BLK-230-CAN-C12,Cold Brew Black Coffee Can 230ml Pack of 12,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,22 May 2025 00:19:00,05 Jun 2025 00:00:00,56155.2,48,48,0,100.0,19.0,179415.7335707925,0,0,0,4.37
390017c6,P815025,PIC-FVA-10P-SAC-C68,Instant Coffee French Vanilla Set of 10 Sachets Case of 68,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,22 May 2025 00:19:00,05 Jun 2025 00:00:00,56155.2,68,68,0,100.0,19.0,6313.263157894736,0,0,0,1.18
554a5602,P815025,PIC-ORG-10P-SAC-C68,Instant Coffee Original Set of 10 Sachets Case of 68,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,22 May 2025 00:19:00,05 Jun 2025 00:00:00,56155.2,68,68,0,100.0,19.0,9981.651376146789,0,0,0,1.25
3384e5f3,P815025,CCC-VIE-230-CAN-C24,Cold Coffee Can Vietnamese 230ml Case of 24,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,22 May 2025 00:19:00,05 Jun 2025 00:00:00,56155.2,48,48,0,100.0,19.0,475307.11825487943,0,0,0,9.82
54e36ca2,P815025,PIC-ORG-100-GLJ-C24,Instant Coffee Original 100g Glass Jar Case of 24,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,22 May 2025 00:19:00,05 Jun 2025 00:00:00,56155.2,24,24,0,100.0,19.0,43719.077647058824,0,0,0,1.87
7f8d4328,P812405,PIC-FVA-10P-SAC-C68,Instant Coffee French Vanilla Set of 10 Sachets Case of 68,Kiranakart Technologies Private Limited (Shakti Logistics),grn_entered,Zepto,22 May 2025 00:05:00,06 Jun 2025 00:00:00,31324.8,136,136,0,100.0,19.0,6313.263157894736,0,0,0,0.71
62fcf1e1,P812405,CCC-VIE-230-CAN-C24,Cold Coffee Can Vietnamese 230ml Case of 24,Kiranakart Technologies Private Limited (Shakti Logistics),grn_entered,Zepto,22 May 2025 00:05:00,06 Jun 2025 00:00:00,31324.8,24,24,0,100.0,19.0,475307.11825487943,0,0,0,9.35
d856da4c,P812405,PIC-HAZ-10P-SAC-C68,Instant Coffee Hazelnut Set of 10 Sachets Case of 68,Kiranakart Technologies Private Limited (Shakti Logistics),grn_entered,Zepto,22 May 2025 00:05:00,06 Jun 2025 00:00:00,31324.8,68,0,68,0.0,19.0,32240.39304973038,0,0,1,11.36
17eeccd6,P812405,PIC-ORG-10P-SAC-C68,Instant Coffee Original Set of 10 Sachets Case of 68,Kiranakart Technologies Private Limited (Shakti Logistics),grn_entered,Zepto,22 May 2025 00:05:00,06 Jun 2025 00:00:00,31324.8,136,136,0,100.0,19.0,9981.651376146789,0,0,0,0.78
34ecf6f4,P816494,CCC-VIE-230-CAN-C24,Cold Coffee Can Vietnamese 230ml Case of 24,KiranaKart Technology Private Limited- HYD,grn_entered,Zepto,22 May 2025 00:23:00,06 Jun 2025 00:00:00,9504.0,24,24,0,100.0,19.0,475307.11825487943,0,0,0,8.93
bd4a3d48,P816494,CCC-BLK-230-CAN-C12,Cold Brew Black Coffee Can 230ml Pack of 12,KiranaKart Technology Private Limited- HYD,grn_entered,Zepto,22 May 2025 00:23:00,06 Jun 2025 00:00:00,9504.0,48,48,0,100.0,19.0,179415.7335707925,0,0,0,3.48
701b4a6c,P816494,CCC-BEL-230-CAN-C24,Cold Coffee Can Belgian Mocha 230ml Case of 24,KiranaKart Technology Private Limited- HYD,grn_entered,Zepto,22 May 2025 00:23:00,06 Jun 2025 00:00:00,9504.0,24,0,24,0.0,19.0,574401.6626878248,0,0,1,20.82
1bc515fe,P812211,CCC-FVA-230-CAN-C24,Sleepy Owl Cold Coffee Can - French Vanilla 200+30 ML- Set of 24,Kiranakart Technologies Private Limited ( Kandlakoya Hyderabad ),grn_entered,Zepto,22 May 2025 00:04:00,06 Jun 2025 00:00:00,23760.0,72,72,0,100.0,19.0,1067998.3298523587,0,0,0,20.12
067a8673,P812211,CCC-HAZ-230-CAN-C24,Cold Coffee Can Hazelnut 230ml Case of 24,Kiranakart Technologies Private Limited ( Kandlakoya Hyderabad ),grn_entered,Zepto,22 May 2025 00:04:00,06 Jun 2025 00:00:00,23760.0,144,144,0,100.0,19.0,2172187.0469359118,0,0,0,40.45
53d4c612,P812211,CCC-SCA-230-CAN-C24,Cold Coffee Can Salted Caramel 230ml Case of 24,Kiranakart Technologies Private Limited ( Kandlakoya Hyderabad ),grn_entered,Zepto,22 May 2025 00:04:00,06 Jun 2025 00:00:00,23760.0,24,24,0,100.0,19.0,635989.7448706512,0,0,0,12.16
52b9f7ae,P812211,CCC-CLA-230-CAN-C24,Cold Coffee Can Classic 230ml Case of 24,Kiranakart Technologies Private Limited ( Kandlakoya Hyderabad ),grn_entered,Zepto,22 May 2025 00:04:00,06 Jun 2025 00:00:00,23760.0,24,24,0,100.0,19.0,901048.9493061455,0,0,0,17.04
c39a8ab0,P817600,PMC-CAP-03P-SAC-C45,Premix Coffee Cappuccino Box of 3 Sachets Case of 45,Kiranakart Technologies Private Limited ( Chennai),delivered,Zepto,22 May 2025 00:26:00,05 Jun 2025 00:00:00,42525.0,90,90,0,100.0,19.0,2516.101083032491,0,0,0,0.85
d7146217,P817600,PMC-HAZ-03P-SAC-C45,Premix Coffee Hazelnut Box of 3 Sachets Case of 45,Kiranakart Technologies Private Limited ( Chennai),delivered,Zepto,22 May 2025 00:26:00,05 Jun 2025 00:00:00,42525.0,135,135,0,100.0,19.0,2877.1561338289957,0,0,0,0.86
9914ed17,P817600,PMC-FVA-03P-SAC-C45,Premix CoffeFrench Vanilla Box of 3 Sachets Case of 45,Kiranakart Technologies Private Limited ( Chennai),delivered,Zepto,22 May 2025 00:26:00,05 Jun 2025 00:00:00,42525.0,180,180,0,100.0,19.0,2773.483146067416,0,0,0,0.86
eb9178de,P817600,PMC-AST-03P-SAC-C45,Premix Coffee Assorted Box of 3 Sachets Case of 45	,Kiranakart Technologies Private Limited ( Chennai),delivered,Zepto,22 May 2025 00:26:00,05 Jun 2025 00:00:00,42525.0,90,0,90,0.0,19.0,90102.88185948969,0,0,1,12.69
40ae620b,P848805,CCC-BEL-230-CAN-C24,Cold Coffee Can Belgian Mocha 230ml Case of 24,KiranaKart Technologies Private Limited (BLR - Mylapura MH),grn_entered,Zepto,26 May 2025 22:04:00,06 Jun 2025 00:00:00,58860.0,24,24,0,100.0,14.0,574401.6626878248,0,0,0,11.69
54312c61,P848805,PMC-FVA-03P-SAC-C45,Premix CoffeFrench Vanilla Box of 3 Sachets Case of 45,KiranaKart Technologies Private Limited (BLR - Mylapura MH),grn_entered,Zepto,26 May 2025 22:04:00,06 Jun 2025 00:00:00,58860.0,135,135,0,100.0,14.0,2773.483146067416,0,0,0,1.17
0dad62de,P848805,PMC-CAP-03P-SAC-C45,Premix Coffee Cappuccino Box of 3 Sachets Case of 45,KiranaKart Technologies Private Limited (BLR - Mylapura MH),grn_entered,Zepto,26 May 2025 22:04:00,06 Jun 2025 00:00:00,58860.0,135,135,0,100.0,14.0,2516.101083032491,0,0,0,1.16
43b77b80,P848805,PMC-HAZ-03P-SAC-C45,Premix Coffee Hazelnut Box of 3 Sachets Case of 45,KiranaKart Technologies Private Limited (BLR - Mylapura MH),grn_entered,Zepto,26 May 2025 22:04:00,06 Jun 2025 00:00:00,58860.0,135,135,0,100.0,14.0,2877.1561338289957,0,0,0,1.17
becfca92,P848805,PMC-AST-03P-SAC-C45,Premix Coffee Assorted Box of 3 Sachets Case of 45	,KiranaKart Technologies Private Limited (BLR - Mylapura MH),grn_entered,Zepto,26 May 2025 22:04:00,06 Jun 2025 00:00:00,58860.0,135,135,0,100.0,14.0,90102.88185948969,0,0,0,2.77
490f9e8e,P857255,CCC-BLK-230-CAN-C12,Cold Brew Black Coffee Can 230ml Pack of 12,KiranaKart Technology Private Limited- Mumbai,grn_entered,Zepto,27 May 2025 20:57:00,05 Jun 2025 00:00:00,36547.2,72,72,0,100.0,13.0,179415.7335707925,0,0,0,4.0
06d7b52d,P857255,CCC-BEL-230-CAN-C24,Cold Coffee Can Belgian Mocha 230ml Case of 24,KiranaKart Technology Private Limited- Mumbai,grn_entered,Zepto,27 May 2025 20:57:00,05 Jun 2025 00:00:00,36547.2,96,96,0,100.0,13.0,574401.6626878248,0,0,0,11.27
4462cfb2,P857255,CCC-VIE-230-CAN-C24,Cold Coffee Can Vietnamese 230ml Case of 24,KiranaKart Technology Private Limited- Mumbai,grn_entered,Zepto,27 May 2025 20:57:00,05 Jun 2025 00:00:00,36547.2,72,72,0,100.0,13.0,475307.11825487943,0,0,0,9.44
1037de51,P857255,CCC-SCA-230-CAN-C24,Cold Coffee Can Salted Caramel 230ml Case of 24,KiranaKart Technology Private Limited- Mumbai,grn_entered,Zepto,27 May 2025 20:57:00,05 Jun 2025 00:00:00,36547.2,48,48,0,100.0,13.0,635989.7448706512,0,0,0,12.4
4193b0df,P857255,RTD-CLA-200-BTL-C12,Ready to Drink Classic 200ml Pack of 12,KiranaKart Technology Private Limited- Mumbai,grn_entered,Zepto,27 May 2025 20:57:00,05 Jun 2025 00:00:00,36547.2,48,48,0,100.0,13.0,214930.7987724682,0,0,0,4.65
2b8a0592,P857261,CCC-SCA-230-CAN-C24,Cold Coffee Can Salted Caramel 230ml Case of 24,Kiranakart Technologies Private Limited ( Ahmedabad),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,33523.2,48,48,0,100.0,13.0,635989.7448706512,0,0,0,12.35
dc1baa01,P857261,CCC-BLK-230-CAN-C12,Cold Brew Black Coffee Can 230ml Pack of 12,Kiranakart Technologies Private Limited ( Ahmedabad),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,33523.2,72,72,0,100.0,13.0,179415.7335707925,0,0,0,3.94
eed23736,P857261,CCC-VIE-230-CAN-C24,Cold Coffee Can Vietnamese 230ml Case of 24,Kiranakart Technologies Private Limited ( Ahmedabad),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,33523.2,72,72,0,100.0,13.0,475307.11825487943,0,0,0,9.39
8730f7b7,P857261,CCC-BEL-230-CAN-C24,Cold Coffee Can Belgian Mocha 230ml Case of 24,Kiranakart Technologies Private Limited ( Ahmedabad),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,33523.2,72,72,0,100.0,13.0,574401.6626878248,0,0,0,11.21
3a1694c4,P857261,CCC-CLA-230-CAN-C24,Cold Coffee Can Classic 230ml Case of 24,Kiranakart Technologies Private Limited ( Ahmedabad),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,33523.2,48,48,0,100.0,13.0,901048.9493061455,0,0,0,17.23
e1d80958,P857275,CCC-BEL-230-CAN-C24,Cold Coffee Can Belgian Mocha 230ml Case of 24,Kiranakart Technologies Private Limited ( Kandlakoya Hyderabad ),grn_entered,Zepto,27 May 2025 20:57:00,03 Jun 2025 00:00:00,25574.4,24,24,0,100.0,13.0,574401.6626878248,0,0,0,11.06
38306a1e,P857275,CCC-BLK-230-CAN-C12,Cold Brew Black Coffee Can 230ml Pack of 12,Kiranakart Technologies Private Limited ( Kandlakoya Hyderabad ),grn_entered,Zepto,27 May 2025 20:57:00,03 Jun 2025 00:00:00,25574.4,24,24,0,100.0,13.0,179415.7335707925,0,0,0,3.79
f4f20ad1,P857275,CCC-VIE-230-CAN-C24,Cold Coffee Can Vietnamese 230ml Case of 24,Kiranakart Technologies Private Limited ( Kandlakoya Hyderabad ),grn_entered,Zepto,27 May 2025 20:57:00,03 Jun 2025 00:00:00,25574.4,24,24,0,100.0,13.0,475307.11825487943,0,0,0,9.24
1f6f62f1,P857275,CCC-FVA-230-CAN-C24,Sleepy Owl Cold Coffee Can - French Vanilla 200+30 ML- Set of 24,Kiranakart Technologies Private Limited ( Kandlakoya Hyderabad ),grn_entered,Zepto,27 May 2025 20:57:00,03 Jun 2025 00:00:00,25574.4,24,24,0,100.0,13.0,1067998.3298523587,0,0,0,20.15
e02d9b86,P857275,CCC-CLA-230-CAN-C24,Cold Coffee Can Classic 230ml Case of 24,Kiranakart Technologies Private Limited ( Kandlakoya Hyderabad ),grn_entered,Zepto,27 May 2025 20:57:00,03 Jun 2025 00:00:00,25574.4,96,96,0,100.0,13.0,901048.9493061455,0,0,0,17.08
4d80ce3b,P857275,CCC-SCA-230-CAN-C24,Cold Coffee Can Salted Caramel 230ml Case of 24,Kiranakart Technologies Private Limited ( Kandlakoya Hyderabad ),grn_entered,Zepto,27 May 2025 20:57:00,03 Jun 2025 00:00:00,25574.4,72,72,0,100.0,13.0,635989.7448706512,0,0,0,12.2
a4b9fa13,P849404,PIC-HAZ-100-GLJ-C24,Instant Coffee Hazelnut 100g Glass Jar Case of 24,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,26 May 2025 22:06:00,08 Jun 2025 00:00:00,88744.4,24,24,0,100.0,14.0,58257.506862281116,0,0,0,2.75
d8c4d30f,P849404,CCC-VIE-230-CAN-C24,Cold Coffee Can Vietnamese 230ml Case of 24,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,26 May 2025 22:06:00,08 Jun 2025 00:00:00,88744.4,72,72,0,100.0,14.0,475307.11825487943,0,0,0,10.43
ecb23558,P849404,CCC-BLK-230-CAN-C12,Cold Brew Black Coffee Can 230ml Pack of 12,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,26 May 2025 22:06:00,08 Jun 2025 00:00:00,88744.4,48,48,0,100.0,14.0,179415.7335707925,0,0,0,4.98
c1a24772,P849404,PIC-HAZ-10P-SAC-C68,Instant Coffee Hazelnut Set of 10 Sachets Case of 68,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,26 May 2025 22:06:00,08 Jun 2025 00:00:00,88744.4,68,0,68,0.0,14.0,32240.39304973038,0,0,1,12.44
06a00699,P849404,CCC-BEL-230-CAN-C24,Cold Coffee Can Belgian Mocha 230ml Case of 24,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,26 May 2025 22:06:00,08 Jun 2025 00:00:00,88744.4,72,72,0,100.0,14.0,574401.6626878248,0,0,0,12.26
b46435b8,P849404,PIC-FVA-100-GLJ-C24,Instant Coffee French Vanilla 100g Glass Jar Case of 24,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,26 May 2025 22:06:00,08 Jun 2025 00:00:00,88744.4,48,48,0,100.0,14.0,58490.43287671232,0,0,0,2.76
d425db1b,P849404,PIC-AST-10P-SAC-C76-MRP,New MRP Instant Coffee Assorted Set of 10 Sachets Case of 76,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,26 May 2025 22:06:00,08 Jun 2025 00:00:00,88744.4,76,76,0,100.0,14.0,354587.67041654,0,0,0,8.21
4c7a744e,P849404,PIC-ORG-100-GLJ-C24,Instant Coffee Original 100g Glass Jar Case of 24,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,26 May 2025 22:06:00,08 Jun 2025 00:00:00,88744.4,24,24,0,100.0,14.0,43719.077647058824,0,0,0,2.49
540c4b50,P849404,PMC-AST-03P-SAC-C45,Premix Coffee Assorted Box of 3 Sachets Case of 45	,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,26 May 2025 22:06:00,08 Jun 2025 00:00:00,88744.4,45,45,0,100.0,14.0,90102.88185948969,0,0,0,3.34
81eefb07,P849404,PMC-CAP-03P-SAC-C45,Premix Coffee Cappuccino Box of 3 Sachets Case of 45,Kiranakart Technologies Private Limited ( Chennai),grn_entered,Zepto,26 May 2025 22:06:00,08 Jun 2025 00:00:00,88744.4,45,45,0,100.0,14.0,2516.101083032491,0,0,0,1.73
fd723575,P857265,CCC-VIE-230-CAN-C24,Cold Coffee Can Vietnamese 230ml Case of 24,KIRANAKART TECHNOLOGIES PVT LTD ( Pune-2),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,58924.8,120,120,0,100.0,13.0,475307.11825487943,0,0,0,9.87
c6193637,P857265,CCC-BEL-230-CAN-C24,Cold Coffee Can Belgian Mocha 230ml Case of 24,KIRANAKART TECHNOLOGIES PVT LTD ( Pune-2),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,58924.8,72,72,0,100.0,13.0,574401.6626878248,0,0,0,11.69
40c98de2,P857265,CCC-BLK-230-CAN-C12,Cold Brew Black Coffee Can 230ml Pack of 12,KIRANAKART TECHNOLOGIES PVT LTD ( Pune-2),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,58924.8,72,72,0,100.0,13.0,179415.7335707925,0,0,0,4.42
3a4aaa62,P857265,RTD-CLA-200-BTL-C12,Ready to Drink Classic 200ml Pack of 12,KIRANAKART TECHNOLOGIES PVT LTD ( Pune-2),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,58924.8,84,84,0,100.0,13.0,214930.7987724682,0,0,0,5.07
5fbb9758,P857265,CCC-FVA-230-CAN-C24,Sleepy Owl Cold Coffee Can - French Vanilla 200+30 ML- Set of 24,KIRANAKART TECHNOLOGIES PVT LTD ( Pune-2),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,58924.8,72,72,0,100.0,13.0,1067998.3298523587,0,0,0,20.78
7c769071,P857265,CCC-SCA-230-CAN-C24,Cold Coffee Can Salted Caramel 230ml Case of 24,KIRANAKART TECHNOLOGIES PVT LTD ( Pune-2),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,58924.8,72,72,0,100.0,13.0,635989.7448706512,0,0,0,12.83
532385ee,P857265,CCC-CLA-230-CAN-C24,Cold Coffee Can Classic 230ml Case of 24,KIRANAKART TECHNOLOGIES PVT LTD ( Pune-2),grn_entered,Zepto,27 May 2025 20:57:00,06 Jun 2025 00:00:00,58924.8,72,72,0,100.0,13.0,901048.9493061455,0,0,0,17.71
0f1d35a8,P849104,PIC-ORG-10P-SAC-C68,Instant Coffee Original Set of 10 Sachets Case of 68,KiranaKart Technologies Private Limited-Bangalore,grn_entered,Zepto,26 May 2025 22:05:00,06 Jun 2025 00:00:00,48877.8,68,68,0,100.0,14.0,9981.651376146789,0,0,0,1.11
b1b6d68c,P849104,PIC-HAZ-10P-SAC-C68,Instant Coffee Hazelnut Set of 10 Sachets Case of 68,KiranaKart Technologies Private Limited-Bangalore,grn_entered,Zepto,26 May 2025 22:05:00,06 Jun 2025 00:00:00,48877.8,68,0,68,0.0,14.0,32240.39304973038,0,0,1,11.69
599f64cd,P849104,CCC-BLK-230-CAN-C12,Cold Brew Black Coffee Can 230ml Pack of 12,KiranaKart Technologies Private Limited-Bangalore,grn_entered,Zepto,26 May 2025 22:05:00,06 Jun 2025 00:00:00,48877.8,24,24,0,100.0,14.0,179415.7335707925,0,0,0,4.23
629a4dc3,P849104,CCC-BEL-230-CAN-C24,Cold Coffee Can Belgian Mocha 230ml Case of 24,KiranaKart Technologies Private Limited-Bangalore,grn_entered,Zepto,26 May 2025 22:05:00,06 Jun 2025 00:00:00,48877.8,24,24,0,100.0,14.0,574401.6626878248,0,0,0,11.5
ace94633,P849104,PIC-FVA-100-GLJ-C24,Instant Coffee French Vanilla 100g Glass Jar Case of 24,KiranaKart Technologies Private Limited-Bangalore,grn_entered,Zepto,26 May 2025 22:05:00,06 Jun 2025 00:00:00,48877.8,24,24,0,100.0,14.0,58490.43287671232,0,0,0,2.0
66e11cea,P849104,PMC-FVA-03P-SAC-C45,Premix CoffeFrench Vanilla Box of 3 Sachets Case of 45,KiranaKart Technologies Private Limited-Bangalore,grn_entered,Zepto,26 May 2025 22:05:00,06 Jun 2025 00:00:00,48877.8,45,45,0,100.0,14.0,2773.483146067416,0,0,0,0.98
9a827095,P849104,PMC-HAZ-03P-SAC-C45,Premix Coffee Hazelnut Box of 3 Sachets Case of 45,KiranaKart Technologies Private Limited-Bangalore,grn_entered,Zepto,26 May 2025 22:05:00,06 Jun 2025 00:00:00,48877.8,45,45,0,100.0,14.0,2877.1561338289957,0,0,0,0.98
6b046c10,P849104,PMC-CAP-03P-SAC-C45,Premix Coffee Cappuccino Box of 3 Sachets Case of 45,KiranaKart Technologies Private Limited-Bangalore,grn_entered,Zepto,26 May 2025 22:05:00,06 Jun 2025 00:00:00,48877.8,45,45,0,100.0,14.0,2516.101083032491,0,0,0,0.97
77ae3354,P849104,PMC-AST-03P-SAC-C45,Premix Coffee Assorted Box of 3 Sachets Case of 45	,KiranaKart Technologies Private Limited-Bangalore,grn_entered,Zepto,26 May 2025 22:05:00,06 Jun 2025 00:00:00,48877.8,90,90,0,100.0,14.0,90102.88185948969,0,0,0,2.59
b39df6f4,P849020,PIC-HAZ-10P-SAC-C68,Instant Coffee Hazelnut Set of 10 Sachets Case of 68,KIRANAKART TECHNOLOGIES PVT LTD ( Pune-2),grn_entered,Zepto,26 May 2025 22:05:00,05 Jun 2025 00:00:00,4725.0,68,0,68,0.0,14.0,32240.39304973038,0,0,1,10.85
79afe70e,P849020,PMC-FVA-03P-SAC-C45,Premix CoffeFrench Vanilla Box of 3 Sachets Case of 45,KIRANAKART TECHNOLOGIES PVT LTD ( Pune-2),grn_entered,Zepto,26 May 2025 22:05:00,05 Jun 2025 00:00:00,4725.0,45,45,0,100.0,14.0,2773.483146067416,0,0,0,0.14
